num_prefill_tokens,num_decode_tokens
34,244
17,71
62,398
91,125
270,187
16,181
17,5
5,247
50,619
10,194
8,129
47,445
12,40
19,119
340,232
2062,330
2579,387
1035,35
1812,299
1814,481
969,235
1065,45
1009,284
19,244
197,252
13,700
21,113
15,217
30,589
8,308
16,137
24,508
10,169
412,321
133,162
181,74
9,422
8,68
14,177
43,113
24,24
29,44
2375,86
2664,362
314,193
14,627
392,352
134,71
4,286
15,115
43,250
1987,381
23,14
1615,103
1081,22
299,349
49,377
7,36
340,269
408,130
67,401
18,398
7,212
73,305
20,331
21,262
12,222
31,37
7,227
21,330
34,124
14,129
107,152
11,252
6,633
30,165
9,87
25,619
20,213
301,135
266,197
247,128
75,301
49,92
21,221
9,367
4,24
438,99
15,490
334,88
23,402
14,199
16,364
50,219
6,174
13,156
8,13
147,389
8,282
7,460
9,282
726,391
1984,439
8,91
99,626
18,144
150,100
6,317
30,111
73,767
9,333
14,126
54,208
5191,197
5649,165
11,386
111,16
10,210
1798,259
1118,295
22,182
77,134
14,560
40,213
8,215
29,346
19,186
11,235
855,242
638,466
986,407
746,623
598,43
1827,335
1763,364
1730,448
20,319
30,98
49,262
51,634
253,415
24,216
11,73
38,322
64,560
955,96
360,114
598,80
1020,121
1021,119
1293,169
653,268
702,125
651,160
60,169
1021,149
1813,126
299,100
32,647
11,249
175,8
390,271
56,269
6,733
312,21
336,464
15,262
101,664
51,413
179,124
12,185
284,232
7,267
17,353
8,17
98,29
61,209
20,176
20,669
10,454
23,150
7,287
19,439
7,135
31,349
990,172
1906,629
1747,761
78,126
66,121
9,55
8,178
7,89
12,197
25,600
66,391
682,142
7,88
37,440
8,275
12,667
284,249
72,375
16,194
41,326
17,325
113,121
41,104
1011,767
18,237
60,199
61,249
110,672
50,328
9,17
27,205
26,300
165,51
256,186
125,222
4,364
8,272
10,235
19,262
64,39
15,468
293,78
1199,405
119,665
98,767
15,411
4,387
1320,770
1334,378
32,275
42,350
14,113
70,769
15,154
17,332
10,289
95,595
31,307
53,39
45,183
77,327
31,768
158,309
17,91
257,359
23,204
1680,163
35,207
42,256
25,236
98,5
25,242
5,165
136,163
260,236
14,159
80,492
5,74
1168,777
1181,701
47,547
8,217
10,499
22,202
4,362
7,277
16,545
27,28
136,211
53,306
343,213
35,258
14,86
11,339
18,358
19,293
13,477
83,255
16,406
43,47
9,254
19,300
138,317
99,178
35,101
4,14
42,48
22,31
89,142
12,296
417,270
28,140
20,145
62,108
389,565
53,255
173,56
68,179
9,146
33,354
81,254
10,462
180,530
21,368
14,95
13,367
31,67
20,570
9,238
7,310
16,370
10,132
14,279
32,333
138,385
280,91
2509,215
6,130
16,300
245,152
325,137
187,100
16,373
8,99
20,287
12,156
153,141
31,494
7,156
61,313
2197,548
1142,294
1004,365
49,172
1114,330
1458,373
1037,227
958,118
1143,328
22,154
16,424
118,175
105,515
9,296
10,410
1037,389
15,65
474,100
24,43
31,370
13,214
28,284
311,234
1538,355
886,710
369,228
16,46
42,23
263,34
156,760
32,295
29,147
10,74
44,306
4,133
10,185
6,39
7,387
11,182
11,707
86,24
13,264
19,425
329,161
27,217
6,67
30,342
21,296
9,270
11,67
16,334
117,204
56,366
509,128
1234,295
23,148
136,133
42,285
35,63
94,426
81,261
113,237
117,292
45,292
58,242
123,263
105,426
71,517
77,449
50,351
119,638
12,81
52,117
31,496
27,348
12,332
7,65
20,266
90,5
143,720
3786,265
2918,195
1988,200
691,453
784,633
396,296
439,292
1409,433
885,757
1111,706
900,368
1058,453
13,144
500,436
4,113
18,68
400,524
9,125
7,140
114,1111
4,27
141,477
17,247
68,308
4,87
15,312
1373,303
11,333
28,333
16,80
661,21
23,302
1484,574
8,206
13,413
300,184
10,338
22,414
835,527
708,732
58,228
33,288
46,218
22,443
139,385
12,6
23,292
23,174
82,374
13,312
39,325
34,140
2641,556
132,90
6,298
84,76
13,256
5,151
15,21
388,325
505,543
160,280
8,196
1081,181
20,187
19,32
23,211
7,278
6,398
20,737
16,473
183,641
25,156
10,90
4,241
50,644
85,561
158,148
25,31
842,702
7,164
66,507
18,512
5,161
16,615
457,768
505,770
363,513
1012,150
14,143
10,265
33,225
17,433
18,111
24,246
21,768
184,216
31,47
60,34
24,330
5,248
742,335
1075,482
1058,97
17,191
19,557
8,267
10,16
80,25
160,267
46,20
20,255
20,221
20,266
9,125
1033,174
47,662
556,366
13,561
82,345
23,219
11,365
120,37
16,129
23,26
20,133
21,768
94,764
31,307
231,223
9,202
6,157
4,26
102,693
23,53
95,488
21,30
16,317
4,98
382,359
18,226
180,541
5,466
36,238
20,261
52,264
100,33
14,455
7,174
13,314
5,510
34,308
761,193
30,360
61,177
110,230
9,494
6,230
106,58
1799,251
1884,174
1497,140
1650,272
1659,288
1714,28
1886,359
15,308
83,492
218,302
26,122
1998,50
16,286
24,174
980,96
40,214
45,297
54,771
33,112
174,272
132,561
23,553
26,461
17,455
205,53
13,134
62,405
13,568
16,81
11,155
10,87
12,170
13,183
12,143
35,92
16,165
13,73
2474,29
2800,36
37,164
22,766
21,216
4,175
144,540
7,19
16,238
8,270
14,248
14,290
40,519
25,517
85,416
49,24
10,238
15,111
15,139
16,510
109,88
37,100
362,424
4,16
131,561
9,768
77,484
37,298
626,147
360,61
536,9
11,265
14,216
9,22
362,219
6,369
23,322
30,240
17,304
226,516
178,767
65,141
8,13
19,571
77,56
13,157
31,291
21,108
16,393
379,295
13,201
22,470
11,67
135,116
768,292
86,741
366,319
10,396
5,228
30,190
7,184
129,572
1048,407
1009,383
1070,396
1041,468
2165,47
1607,84
1921,34
46,732
12,271
1193,394
162,319
279,154
156,237
161,172
33,501
9,309
11,258
105,273
6,128
2825,237
121,87
29,690
540,324
12,364
62,315
148,323
7,316
27,426
203,394
131,257
393,201
879,267
1010,106
1054,328
971,265
946,298
111,85
561,132
931,233
918,138
942,232
12,329
