num_prefill_tokens,num_decode_tokens
34,244
314,319
651,275
959,289
1260,307
1580,258
17,71
62,398
91,125
219,281
503,332
838,381
1225,417
1800,448
452,512
971,555
1529,766
771,765
1537,202
270,187
16,181
205,440
659,299
970,361
17,5
347,6
5,247
257,244
510,286
803,326
1134,210
1360,223
50,619
680,472
10,194
215,214
459,270
735,193
933,193
1131,246
1384,335
1726,366
388,768
1157,476
1649,44
1717,417
450,523
998,282
1299,240
1554,223
1779,344
406,54
527,187
725,125
854,261
1176,327
1518,134
1662,148
1818,76
1898,403
409,163
576,343
939,181
1129,302
1436,231
1670,184
1867,94
102,147
349,465
928,244
1177,162
1385,84
1534,113
1716,124
8,129
147,18
171,83
47,445
676,604
1282,768
12,40
202,425
635,51
701,391
1102,367
1489,491
538,436
985,319
19,119
150,118
273,475
771,318
1108,335
1451,394
1856,110
340,232
580,79
671,79
754,21
2062,330
1387,173
2579,387
424,246
708,235
1171,77
1518,51
1766,10
1776,29
50,72
1359,157
1035,35
1812,299
326,75
1814,481
1553,162
969,235
1065,45
1009,284
1293,217
1542,108
19,244
197,252
469,252
13,700
21,113
161,125
302,234
563,150
724,192
939,59
15,217
242,226
479,250
739,301
1054,205
30,589
662,210
8,308
16,137
172,153
333,180
24,508
10,169
187,241
437,262
702,254
964,229
1198,250
412,321
770,59
1019,162
1406,189
1696,174
133,162
385,85
523,61
630,75
181,74
258,28
289,29
9,422
446,391
8,68
83,91
182,310
501,294
804,116
929,113
1050,152
1210,154
1371,179
14,177
194,150
366,275
681,372
43,113
24,24
77,25
121,33
181,168
29,44
90,38
2375,86
1923,31
2664,362
375,103
525,128
668,108
816,131
972,137
1130,341
1495,261
1854,139
172,174
417,273
723,137
983,175
1173,134
1316,574
585,89
695,47
779,460
1365,366
1740,79
110,359
494,319
836,247
1112,67
1198,144
1379,368
314,193
546,642
14,627
392,352
802,683
134,71
224,66
310,53
369,49
429,236
4,286
15,115
136,12
151,130
287,10
309,133
448,9
43,250
322,220
583,256
859,249
1987,381
407,411
831,193
1031,297
1361,177
1618,260
23,14
718,10
1615,103
1729,15
1081,22
299,349
49,377
7,36
340,269
648,430
1145,327
1584,266
1897,61
1977,84
103,88
207,101
337,30
475,188
716,102
828,94
931,30
992,155
408,130
552,544
1104,523
1632,362
363,173
540,341
882,222
1107,276
1384,289
1680,552
558,481
1044,291
1338,180
1523,333
336,167
505,500
1015,259
1283,371
67,401
18,398
449,322
788,173
978,246
1243,132
7,212
73,305
391,242
655,158
829,328
1168,263
1432,159
220,249
484,231
20,331
354,316
677,276
962,238
1210,349
1583,371
378,429
815,475
1297,767
21,262
290,298
12,222
245,212
469,246
722,206
938,236
31,37
73,50
201,557
775,321
1116,508
1631,651
662,263
7,227
243,273
21,330
34,124
185,117
312,134
465,107
610,127
755,92
861,93
1037,171
1229,131
1403,262
1676,178
196,155
14,129
149,144
301,84
400,185
611,352
969,124
1111,187
1362,571
576,275
107,152
11,252
278,264
555,231
797,271
1086,225
1337,235
1586,690
707,293
1019,310
1340,239
1596,237
247,320
580,348
942,186
1142,284
1443,554
572,323
906,323
1244,391
1648,301
311,364
684,482
1176,416
1603,305
1925,473
486,256
757,213
6,633
648,202
859,434
1303,346
1659,396
403,263
678,767
1466,331
1825,349
30,165
9,87
115,280
412,272
722,318
1053,295
1365,237
25,619
723,296
1032,767
782,266
1063,226
1336,338
1715,368
20,213
240,227
495,299
798,275
1094,266
1368,264
1645,283
1935,232
246,270
527,306
858,250
1111,232
1357,248
1614,254
1870,44
301,135
438,146
594,120
791,129
933,210
1166,245
1504,231
1742,183
196,169
383,168
646,148
818,12
1036,110
1166,212
1389,11
1436,11
1473,12
1507,13
1584,204
1791,269
517,102
625,140
830,415
1367,394
266,197
475,213
961,146
1119,266
1396,199
1628,75
1805,20
1833,215
219,79
320,108
447,9
465,132
932,162
1150,411
1589,13
1613,138
247,128
601,121
745,253
1082,51
1211,55
1334,73
1444,85
1552,301
326,459
860,26
75,301
49,92
157,402
21,221
250,262
525,245
782,369
9,367
385,128
518,58
593,137
737,179
4,24
34,387
432,33
470,19
438,99
598,295
15,490
334,88
23,402
14,199
16,364
50,219
6,174
189,128
449,133
594,83
690,76
773,84
869,11
897,84
985,80
1081,72
1170,68
13,156
180,199
395,186
8,13
423,767
1191,200
1405,769
770,192
147,389
543,465
1026,415
1467,390
8,282
7,460
472,410
886,433
1327,443
1786,447
463,166
637,484
1129,476
9,282
295,440
740,350
1092,215
1309,438
1754,376
379,491
878,294
1178,499
1682,565
584,258
845,31
880,298
1181,319
1503,353
1859,403
406,520
927,767
1699,247
1952,191
197,353
726,391
1130,537
1984,439
8,91
99,626
737,608
18,144
150,100
263,214
575,281
973,282
1336,360
1713,302
360,377
766,279
1088,353
1478,297
6,317
30,111
73,767
841,308
1164,112
1286,193
1492,308
339,287
633,206
850,205
1070,223
1312,223
1542,224
1777,229
9,333
14,126
218,250
519,330
866,420
54,208
5191,197
203,121
355,216
1613,228
1879,180
1098,281
1381,358
1741,184
1997,381
386,8
5649,165
187,568
793,191
987,308
1323,344
11,386
111,16
133,244
420,471
10,210
1798,259
266,520
788,521
1311,547
1118,295
1415,539
943,434
1434,142
1579,245
22,182
77,134
14,560
40,213
8,215
235,291
539,272
825,293
1132,273
1415,250
1675,362
29,346
381,309
699,327
1047,248
1317,515
19,186
225,326
578,269
857,238
11,235
855,242
1467,255
638,466
986,407
1423,766
776,767
1583,767
861,335
1206,393
1609,637
656,762
746,623
1379,549
609,761
1384,217
1617,119
1757,112
598,43
678,398
1436,272
1748,523
551,546
1118,200
1413,441
1889,648
694,380
1150,579
1810,546
711,567
1321,219
1556,188
1776,318
764,323
1125,29
1182,29
1669,22
1732,507
596,463
1130,475
1827,335
1763,364
373,327
1730,448
20,319
347,213
587,289
884,298
1193,313
1511,322
30,98
168,47
223,42
760,381
1149,74
49,262
323,252
51,634
854,493
