router,seeds,mean_RT_s,ci90,p99_RT_s,mean_TTFT_s,global_queue_s,restarted_frac,incomplete,paper_RT_s,speedup_vs_LLQ
rr,10,69.4196502949674,"[56.9, 82.6]",322.83637181621305,44.127746267237434,0.0,0.16416443965138025,0,63.4,0.8771595243649483
lor,10,62.83655901469838,"[51.0, 75.8]",306.3395541482267,36.720151626988645,0.0,0.1916083309941747,0,59.6,0.969055409607504
llq,10,60.89210743431464,"[49.3, 73.9]",303.4583692503958,35.35928850349541,0.0,0.17735970994585964,0,54.6,1.0
ablation_hra_fifo,10,58.996415226543036,"[47.2, 72.0]",290.34979549457694,34.9482909722772,34.373266442564876,0.03754598315973264,0,,1.0321323287269617
funsearch_fig13,10,34.58073956461009,"[30.5, 39.2]",379.02098131881746,10.94103874557489,10.7499155375252,0.022576597433802945,0,32.5,1.7608677026859074
glia_hra__HRA_M0.0,10,33.89096970421015,"[30.1, 38.1]",356.34502631723353,7.925674312203273,7.09457155126605,0.20813901875107862,0,,1.7967059652102617
glia_hra__HRA_M0.1,10,32.876912704479984,"[29.4, 36.8]",380.76842856647363,9.565295457815827,9.290929966209179,0.007835747838184446,0,,1.8521236462089445
glia_hra__HRA_R0.2,10,31.66030702400223,"[28.6, 35.1]",341.36780983555144,6.650885380687134,6.302662789659754,0.09544968205895854,0,,1.9232949127167742
glia_hra,10,31.393948941585602,"[28.3, 34.8]",340.85988211099937,6.811027725077507,6.525038739525563,0.08142431540508191,0,24.1,1.9396128708629792
glia_hra__HRA_R0.8,10,31.316808905784296,"[28.2, 34.8]",340.5565029272732,6.8893509585938855,6.607976179921503,0.07611144390918986,0,,1.944390554526381
glia_hra__HRA_R0.4,10,31.240980446334568,"[28.4, 34.5]",339.35601366046984,6.525334774265806,6.217607535719734,0.09377337670500711,0,,1.9491100011702407
glia_hra__HRA_M0.06,10,31.231978593299544,"[28.2, 34.6]",350.41642794495897,7.433061004490568,7.154197455284562,0.02811035608448078,0,,1.9496717843991584
glia_hra__HRA_R1.0,10,31.140944273912925,"[28.3, 34.4]",341.5784200370432,6.803617701057722,6.53750600121243,0.07045051805728732,0,,1.9553712597380855
